                                           INSTITUCION EDUCATIVA TP
                                     DETALLE DE PAGOS REALIZADO POR CICLO
                                                   CICLO: 2023-1
===============================================================================================================
ALUMNO  No. DE Cursos  CREDITOS  ESCALA  MONTO PAGADO
---------------------------------------------------------------------------------------------------------------
20202031 - AQUINO AQUINO VALENTINA ROCIO           0              0.00      B         0.00
20226271 - VELASQUEZ VELASQUEZ EDGARD HENRY        0              0.00      C         0.00
20209968 - PRADO PRADO CARLOS JULIAN               0              0.00      D         0.00
20208940 - BARRIOS BARRIOS CARLOS ALBERTO          0              0.00      B         0.00
20197374 - VILCARA VILCARA VICTOR                  0              0.00      D         0.00
20231152 - HIJAR HIJAR JENNY DELICIA               0              0.00      E         0.00
20218376 - LANDA LANDA CHRISTIAN                   0              0.00      A         0.00
20231938 - MARTEL MARTEL BRUNO ROBERTO             0              0.00      E         0.00
20211892 - GONZALES GONZALES HENRY                 0              0.00      B         0.00
20193373 - VASQUEZ VASQUEZ ALEX MARTIN             0              0.00      C         0.00
20216619 - IBEROS IBEROS RAFAEL                    0              0.00      D         0.00
20238549 - JUSTINO JUSTINO ERICKA VICTORIA         0              0.00      A         0.00
20222575 - YOSHINARI YOSHINARI PAUL                0              0.00      B         0.00
20215248 - MEJIA MEJIA CHRISTIAN ALONSO            0              0.00      A         0.00
20213075 - FLORIAN FLORIAN YDALI                   0              0.00      E         0.00
20224165 - MIYAKE MIYAKE MADELEINE YLIANA          0              0.00      A         0.00
20219990 - ACUNA ACUNA ROCIO YOLANDA               0              0.00      A         0.00
20195764 - CALIXTO CALIXTO MONICA DORIS            0              0.00      A         0.00
20235440 - PORTUGAL PORTUGAL JOHANA GLORIA         0              0.00      D         0.00
20218255 - MEJIA MEJIA BLANCA MILAGROS             0              0.00      B         0.00
20192298 - CORREA CORREA MIGUEL                    0              0.00      C         0.00
20217328 - ALAMO ALAMO MIGUEL ROBERTO              0              0.00      A         0.00
20202687 - MORALES MORALES INES MARTHA             0              0.00      A         0.00
20205830 - FERNANDEZ FERNANDEZ ELIZABETH ELIZABETH 0              0.00      A         0.00
20193984 - PAREDES PAREDES CHRISTIAN               0              0.00      A         0.00
20195979 - MEJIA DELAHAZA FRANCISCO EDGAR          0              0.00      E         0.00
